"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1641189600";"03.01.2022 08:00";"106,87";"106,87";"106,87";"106,87"
"1641193200";"03.01.2022 09:00";"131,47";"131,47";"122,93";"131,47"
"1641196800";"03.01.2022 10:00";"135,53";"135,53";"110,17";"135,53"
"1641200400";"03.01.2022 11:00";"107,46";"107,46";"101,99";"107,46"
"1641204000";"03.01.2022 12:00";"110,08";"110,08";"102,38";"110,08"
"1641207600";"03.01.2022 13:00";"119,78";"119,78";"106,06";"119,78"
"1641211200";"03.01.2022 14:00";"117";"117";"110,07";"117"
"1641214800";"03.01.2022 15:00";"111,57";"111,57";"101,97";"111,57"
"1641218400";"03.01.2022 16:00";"111,39";"111,39";"98,05";"111,39"
"1641222000";"03.01.2022 17:00";"124,51";"124,51";"120,55";"124,51"
"1641225600";"03.01.2022 18:00";"148,49";"148,49";"139,57";"148,49"
"1641229200";"03.01.2022 19:00";"138";"138";"134,69";"138"
"1641232800";"03.01.2022 20:00";"117,64";"117,64";"114,82";"117,64"
"1641236400";"03.01.2022 21:00";"117,71";"117,71";"92,91";"117,71"
"1641240000";"03.01.2022 22:00";"95,95";"95,95";"72,39";"95,95"
"1641243600";"03.01.2022 23:00";"105,68";"105,68";"49,3";"105,68"
"1641247200";"04.01.2022 00:00";"95,26";"95,26";"34,4";"95,26"
"1641250800";"04.01.2022 01:00";"103,7";"103,7";"39,99";"103,7"
"1641254400";"04.01.2022 02:00";"104,14";"104,14";"37,14";"104,14"
"1641258000";"04.01.2022 03:00";"102,59";"102,59";"36,66";"102,59"
"1641261600";"04.01.2022 04:00";"100,49";"100,49";"38,64";"100,49"
"1641265200";"04.01.2022 05:00";"102,71";"102,71";"41,02";"102,71"
"1641268800";"04.01.2022 06:00";"93,97";"93,97";"93,97";"93,97"
"1641272400";"04.01.2022 07:00";"130,08";"130,08";"122,39";"130,08"
"1641276000";"04.01.2022 08:00";"182,64";"182,64";"154,93";"182,64"
"1641279600";"04.01.2022 09:00";"174,61";"174,61";"167,88";"174,61"
"1641283200";"04.01.2022 10:00";"183,6";"185,44";"166,65";"183,6"
"1641286800";"04.01.2022 11:00";"183,65";"185,32";"167,29";"183,65"
"1641290400";"04.01.2022 12:00";"164,62";"178,04";"164,62";"164,62"
"1641294000";"04.01.2022 13:00";"178,08";"178,08";"159,98";"178,08"
"1641297600";"04.01.2022 14:00";"175,28";"175,28";"155,69";"175,28"
"1641301200";"04.01.2022 15:00";"174,7";"174,7";"155,16";"174,7"
"1641304800";"04.01.2022 16:00";"180,93";"180,93";"158,45";"180,93"
"1641308400";"04.01.2022 17:00";"166,69";"166,69";"161,35";"166,69"
"1641312000";"04.01.2022 18:00";"183,69";"185,32";"167,76";"183,69"
"1641315600";"04.01.2022 19:00";"180,5";"180,5";"164,46";"180,5"
"1641319200";"04.01.2022 20:00";"153,88";"153,88";"153,88";"153,88"
"1641322800";"04.01.2022 21:00";"146,81";"146,81";"146,81";"146,81"
"1641326400";"04.01.2022 22:00";"128,75";"128,75";"128,75";"128,75"
"1641330000";"04.01.2022 23:00";"112,96";"112,96";"112,96";"112,96"
"1641333600";"05.01.2022 00:00";"84,11";"84,11";"84,11";"84,11"
"1641337200";"05.01.2022 01:00";"105,31";"105,31";"93,87";"105,31"
"1641340800";"05.01.2022 02:00";"97,29";"97,29";"85,3";"97,29"
"1641344400";"05.01.2022 03:00";"84,5";"84,5";"84,5";"84,5"
"1641348000";"05.01.2022 04:00";"75,38";"75,38";"75,38";"75,38"
"1641351600";"05.01.2022 05:00";"79,11";"79,11";"79,11";"79,11"
"1641355200";"05.01.2022 06:00";"94,79";"94,79";"94,79";"94,79"
"1641358800";"05.01.2022 07:00";"121,92";"121,92";"121,92";"121,92"
"1641362400";"05.01.2022 08:00";"139,9";"139,9";"139,9";"139,9"
"1641366000";"05.01.2022 09:00";"147,74";"147,74";"147,74";"147,74"
"1641369600";"05.01.2022 10:00";"141,47";"141,47";"141,47";"141,47"
"1641373200";"05.01.2022 11:00";"135,97";"135,97";"135,97";"135,97"
"1641376800";"05.01.2022 12:00";"129,99";"129,99";"129,99";"129,99"
"1641380400";"05.01.2022 13:00";"150,31";"150,31";"150,31";"150,31"
"1641384000";"05.01.2022 14:00";"134,71";"134,71";"134,71";"134,71"
"1641387600";"05.01.2022 15:00";"149,92";"149,92";"149,92";"149,92"
"1641391200";"05.01.2022 16:00";"160,01";"160,01";"160,01";"160,01"
"1641394800";"05.01.2022 17:00";"137,28";"137,28";"137,28";"137,28"
"1641398400";"05.01.2022 18:00";"148,09";"148,09";"148,09";"148,09"
"1641402000";"05.01.2022 19:00";"139,88";"139,88";"139,88";"139,88"
"1641405600";"05.01.2022 20:00";"135,75";"135,75";"135,75";"135,75"
"1641409200";"05.01.2022 21:00";"119,93";"119,93";"119,93";"119,93"
"1641412800";"05.01.2022 22:00";"98,09";"98,09";"98,09";"98,09"
"1641416400";"05.01.2022 23:00";"118,71";"118,71";"118,71";"118,71"
"1641420000";"06.01.2022 00:00";"97,29";"97,29";"97,29";"97,29"
"1641423600";"06.01.2022 01:00";"98,46";"98,46";"93,29";"98,46"
"1641427200";"06.01.2022 02:00";"92,92";"92,92";"80,77";"92,92"
"1641430800";"06.01.2022 03:00";"90,99";"90,99";"78,08";"90,99"
"1641434400";"06.01.2022 04:00";"88,94";"88,94";"81,97";"88,94"
"1641438000";"06.01.2022 05:00";"89,31";"89,31";"89,31";"89,31"
"1641441600";"06.01.2022 06:00";"89,75";"89,75";"89,75";"89,75"
"1641445200";"06.01.2022 07:00";"97,06";"97,06";"97,06";"97,06"
"1641448800";"06.01.2022 08:00";"110,87";"110,87";"110,87";"110,87"
"1641452400";"06.01.2022 09:00";"136,88";"136,88";"136,88";"136,88"
"1641456000";"06.01.2022 10:00";"205,87";"205,87";"205,87";"205,87"
"1641459600";"06.01.2022 11:00";"209,25";"209,25";"209,25";"209,25"
"1641463200";"06.01.2022 12:00";"224,71";"224,71";"224,71";"224,71"
"1641466800";"06.01.2022 13:00";"218,99";"218,99";"218,99";"218,99"
"1641470400";"06.01.2022 14:00";"202,71";"202,71";"202,71";"202,71"
"1641474000";"06.01.2022 15:00";"209,36";"209,36";"209,36";"209,36"
"1641477600";"06.01.2022 16:00";"225,23";"225,23";"225,23";"225,23"
"1641481200";"06.01.2022 17:00";"245,95";"245,95";"245,95";"245,95"
"1641484800";"06.01.2022 18:00";"264,74";"274,11";"264,74";"264,74"
"1641488400";"06.01.2022 19:00";"270,07";"272,89";"270,07";"270,07"
"1641492000";"06.01.2022 20:00";"220,32";"239,59";"220,32";"220,32"
"1641495600";"06.01.2022 21:00";"217,91";"217,91";"217,91";"217,91"
"1641499200";"06.01.2022 22:00";"203,31";"203,31";"203,31";"203,31"
"1641502800";"06.01.2022 23:00";"171,31";"171,31";"171,31";"171,31"
"1641506400";"07.01.2022 00:00";"124,7";"124,7";"124,7";"124,7"
"1641510000";"07.01.2022 01:00";"128,92";"128,92";"128,92";"128,92"
"1641513600";"07.01.2022 02:00";"116,65";"116,65";"116,65";"116,65"
"1641517200";"07.01.2022 03:00";"100,54";"100,54";"100,54";"100,54"
"1641520800";"07.01.2022 04:00";"99,47";"99,47";"99,47";"99,47"
"1641524400";"07.01.2022 05:00";"101,74";"101,74";"101,74";"101,74"
"1641528000";"07.01.2022 06:00";"114,99";"114,99";"114,99";"114,99"
"1641531600";"07.01.2022 07:00";"140,19";"140,19";"140,19";"140,19"
"1641535200";"07.01.2022 08:00";"170,53";"170,53";"170,53";"170,53"
"1641538800";"07.01.2022 09:00";"175,66";"175,66";"175,66";"175,66"
"1641542400";"07.01.2022 10:00";"161,85";"161,85";"161,85";"161,85"
"1641546000";"07.01.2022 11:00";"161,37";"161,37";"161,37";"161,37"
"1641549600";"07.01.2022 12:00";"166,06";"166,06";"166,06";"166,06"
"1641553200";"07.01.2022 13:00";"166,54";"166,54";"166,54";"166,54"
"1641556800";"07.01.2022 14:00";"166,04";"166,04";"166,04";"166,04"
"1641560400";"07.01.2022 15:00";"169,43";"169,43";"169,43";"169,43"
"1641564000";"07.01.2022 16:00";"189,7";"189,7";"189,7";"189,7"
"1641567600";"07.01.2022 17:00";"201,97";"201,97";"201,97";"201,97"
"1641571200";"07.01.2022 18:00";"243,11";"243,11";"243,11";"243,11"
"1641574800";"07.01.2022 19:00";"247,72";"247,72";"247,72";"247,72"
"1641578400";"07.01.2022 20:00";"200,89";"200,89";"200,89";"200,89"
"1641582000";"07.01.2022 21:00";"224,33";"224,33";"224,33";"224,33"
"1641585600";"07.01.2022 22:00";"213,81";"213,81";"213,81";"213,81"
"1641589200";"07.01.2022 23:00";"185,94";"185,94";"185,94";"185,94"
"1641592800";"08.01.2022 00:00";"144,76";"144,76";"144,76";"144,76"
"1641596400";"08.01.2022 01:00";"160,71";"160,71";"160,71";"160,71"
"1641600000";"08.01.2022 02:00";"146,08";"146,08";"146,08";"146,08"
"1641603600";"08.01.2022 03:00";"144,64";"144,64";"144,64";"144,64"
"1641607200";"08.01.2022 04:00";"146,9";"146,9";"146,9";"146,9"
"1641610800";"08.01.2022 05:00";"150,07";"150,07";"150,07";"150,07"
"1641614400";"08.01.2022 06:00";"154,3";"154,3";"154,3";"154,3"
"1641618000";"08.01.2022 07:00";"166";"166";"166";"166"
"1641621600";"08.01.2022 08:00";"182,91";"182,91";"182,91";"182,91"
"1641625200";"08.01.2022 09:00";"182,03";"182,03";"182,03";"182,03"
"1641628800";"08.01.2022 10:00";"181,02";"181,02";"181,02";"181,02"
"1641632400";"08.01.2022 11:00";"170,04";"170,04";"170,04";"170,04"
"1641636000";"08.01.2022 12:00";"158,5";"158,5";"158,5";"158,5"
"1641639600";"08.01.2022 13:00";"158,79";"158,79";"158,79";"158,79"
"1641643200";"08.01.2022 14:00";"156,07";"156,07";"156,07";"156,07"
"1641646800";"08.01.2022 15:00";"156,18";"156,18";"156,18";"156,18"
"1641650400";"08.01.2022 16:00";"173,88";"173,88";"173,88";"173,88"
"1641654000";"08.01.2022 17:00";"182,94";"182,94";"182,94";"182,94"
"1641657600";"08.01.2022 18:00";"189,9";"189,9";"189,9";"189,9"
"1641661200";"08.01.2022 19:00";"182,94";"182,94";"182,94";"182,94"
"1641664800";"08.01.2022 20:00";"149,96";"149,96";"149,96";"149,96"
"1641668400";"08.01.2022 21:00";"145,06";"145,06";"145,06";"145,06"
"1641672000";"08.01.2022 22:00";"160,04";"160,04";"160,04";"160,04"
"1641675600";"08.01.2022 23:00";"126,06";"126,06";"126,06";"126,06"
"1641679200";"09.01.2022 00:00";"114,11";"114,11";"114,11";"114,11"
"1641682800";"09.01.2022 01:00";"85,03";"85,03";"85,03";"85,03"
"1641686400";"09.01.2022 02:00";"84,4";"84,4";"84,4";"84,4"
"1641690000";"09.01.2022 03:00";"82,74";"82,74";"82,74";"82,74"
"1641693600";"09.01.2022 04:00";"84,5";"84,5";"84,5";"84,5"
"1641697200";"09.01.2022 05:00";"110,19";"110,19";"110,19";"110,19"
"1641700800";"09.01.2022 06:00";"120,02";"120,02";"120,02";"120,02"
"1641704400";"09.01.2022 07:00";"120";"120";"120";"120"
"1641708000";"09.01.2022 08:00";"119,92";"119,92";"119,92";"119,92"
"1641711600";"09.01.2022 09:00";"97,26";"97,26";"97,26";"97,26"
"1641715200";"09.01.2022 10:00";"119,97";"119,97";"119,97";"119,97"
"1641718800";"09.01.2022 11:00";"134,96";"134,96";"134,96";"134,96"
"1641722400";"09.01.2022 12:00";"149,4";"149,4";"149,4";"149,4"
"1641726000";"09.01.2022 13:00";"165,13";"165,13";"165,13";"165,13"
"1641729600";"09.01.2022 14:00";"165,06";"165,06";"165,06";"165,06"
"1641733200";"09.01.2022 15:00";"170,09";"170,09";"170,09";"170,09"
"1641736800";"09.01.2022 16:00";"182,91";"182,91";"182,91";"182,91"
"1641740400";"09.01.2022 17:00";"190,96";"190,96";"190,96";"190,96"
"1641744000";"09.01.2022 18:00";"223,3";"223,3";"223,3";"223,3"
"1641747600";"09.01.2022 19:00";"243,19";"243,19";"243,19";"243,19"
"1641751200";"09.01.2022 20:00";"209,65";"209,65";"209,65";"209,65"
"1641754800";"09.01.2022 21:00";"155,07";"155,07";"155,07";"155,07"
"1641758400";"09.01.2022 22:00";"171,18";"171,18";"171,18";"171,18"
"1641762000";"09.01.2022 23:00";"170,03";"170,03";"170,03";"170,03"
"1641765600";"10.01.2022 00:00";"144,79";"144,79";"144,79";"144,79"
"1641769200";"10.01.2022 01:00";"144,28";"144,28";"144,28";"144,28"
"1641772800";"10.01.2022 02:00";"138,09";"138,09";"138,09";"138,09"
"1641776400";"10.01.2022 03:00";"133,81";"133,81";"133,81";"133,81"
"1641780000";"10.01.2022 04:00";"136,44";"136,44";"136,44";"136,44"
"1641783600";"10.01.2022 05:00";"142,99";"142,99";"142,99";"142,99"
"1641787200";"10.01.2022 06:00";"182,94";"182,94";"182,94";"182,94"
"1641790800";"10.01.2022 07:00";"248,5";"248,5";"248,5";"248,5"
"1641794400";"10.01.2022 08:00";"299,95";"299,95";"299,95";"299,95"
"1641798000";"10.01.2022 09:00";"313,92";"313,92";"313,92";"313,92"
"1641801600";"10.01.2022 10:00";"315";"315";"315";"315"
"1641805200";"10.01.2022 11:00";"310,41";"310,41";"310,41";"310,41"
"1641808800";"10.01.2022 12:00";"310,08";"310,08";"310,08";"310,08"
"1641812400";"10.01.2022 13:00";"300";"300";"300";"300"
"1641816000";"10.01.2022 14:00";"297,01";"297,01";"297,01";"297,01"
"1641819600";"10.01.2022 15:00";"299,96";"299,96";"299,96";"299,96"
"1641823200";"10.01.2022 16:00";"306,45";"306,45";"306,45";"306,45"
"1641826800";"10.01.2022 17:00";"302,73";"302,73";"302,73";"302,73"
"1641830400";"10.01.2022 18:00";"315,47";"315,47";"315,47";"315,47"
"1641834000";"10.01.2022 19:00";"310,82";"310,82";"310,82";"310,82"
"1641837600";"10.01.2022 20:00";"294,98";"294,98";"294,98";"294,98"
"1641841200";"10.01.2022 21:00";"261,03";"261,03";"261,03";"261,03"
"1641844800";"10.01.2022 22:00";"242,23";"242,23";"242,23";"242,23"
"1641848400";"10.01.2022 23:00";"211,83";"211,83";"211,83";"211,83"
"1641852000";"11.01.2022 00:00";"150,09";"150,09";"150,09";"150,09"
"1641855600";"11.01.2022 01:00";"206,11";"206,11";"147,5";"147,5"
"1641859200";"11.01.2022 02:00";"198,87";"198,87";"143,76";"143,76"
"1641862800";"11.01.2022 03:00";"197,24";"197,24";"140,21";"140,21"
"1641866400";"11.01.2022 04:00";"193";"193";"139,97";"139,97"
"1641870000";"11.01.2022 05:00";"194,9";"194,9";"141,56";"141,56"
"1641873600";"11.01.2022 06:00";"200,01";"200,01";"147,1";"200,01"
"1641877200";"11.01.2022 07:00";"221,44";"231,44";"151,89";"221,44"
"1641880800";"11.01.2022 08:00";"221,47";"291,51";"201,93";"221,47"
"1641884400";"11.01.2022 09:00";"221,47";"300,02";"213,06";"221,47"
"1641888000";"11.01.2022 10:00";"221,47";"297,16";"196,21";"221,47"
"1641891600";"11.01.2022 11:00";"221,44";"275,67";"198,24";"221,44"
"1641895200";"11.01.2022 12:00";"216,98";"264,4";"191,02";"216,98"
"1641898800";"11.01.2022 13:00";"221,43";"252,59";"158,36";"221,43"
"1641902400";"11.01.2022 14:00";"221,43";"248,38";"157,6";"221,43"
"1641906000";"11.01.2022 15:00";"221,33";"255,01";"157,67";"221,33"
"1641909600";"11.01.2022 16:00";"221,41";"277,9";"158,56";"221,41"
"1641913200";"11.01.2022 17:00";"221,43";"282,98";"161,11";"221,43"
"1641916800";"11.01.2022 18:00";"221,48";"308,81";"173,63";"221,48"
"1641920400";"11.01.2022 19:00";"221,45";"308,32";"168,02";"221,45"
"1641924000";"11.01.2022 20:00";"221,41";"309,2";"157,99";"221,41"
"1641927600";"11.01.2022 21:00";"216,99";"216,99";"153,78";"216,99"
"1641931200";"11.01.2022 22:00";"216,98";"216,98";"153,63";"153,63"
"1641934800";"11.01.2022 23:00";"200,07";"200,07";"150,56";"150,56"
"1641938400";"12.01.2022 00:00";"149,7";"149,7";"143,07";"143,07"
"1641942000";"12.01.2022 01:00";"147,62";"147,62";"24,62";"147,62"
"1641945600";"12.01.2022 02:00";"183,98";"183,98";"24,26";"183,98"
"1641949200";"12.01.2022 03:00";"183,06";"183,06";"24,99";"183,06"
"1641952800";"12.01.2022 04:00";"164,2";"164,2";"23,47";"140,07"
"1641956400";"12.01.2022 05:00";"178,33";"178,33";"30,71";"178,33"
"1641960000";"12.01.2022 06:00";"193,5";"193,5";"99,97";"193,5"
"1641963600";"12.01.2022 07:00";"208,1";"213,87";"119,59";"208,1"
"1641967200";"12.01.2022 08:00";"212,25";"266,63";"146,56";"212,25"
"1641970800";"12.01.2022 09:00";"212,27";"292,9";"148,6";"212,27"
"1641974400";"12.01.2022 10:00";"212,26";"285,71";"119,91";"212,26"
"1641978000";"12.01.2022 11:00";"212,23";"268,88";"119,91";"212,23"
"1641981600";"12.01.2022 12:00";"211,99";"252,44";"119,93";"211,99"
"1641985200";"12.01.2022 13:00";"212,21";"212,21";"119,96";"212,21"
"1641988800";"12.01.2022 14:00";"208,09";"208,09";"109,92";"208,09"
"1641992400";"12.01.2022 15:00";"208,09";"208,09";"103,11";"208,09"
"1641996000";"12.01.2022 16:00";"212,24";"240,01";"103,18";"212,24"
"1641999600";"12.01.2022 17:00";"212,24";"255";"111,59";"212,24"
"1642003200";"12.01.2022 18:00";"212,25";"255,01";"104,66";"212,25"
"1642006800";"12.01.2022 19:00";"208,08";"208,08";"110";"110,46"
"1642010400";"12.01.2022 20:00";"208,02";"208,02";"82,31";"87,04"
"1642014000";"12.01.2022 21:00";"199,42";"199,42";"21,01";"199,42"
"1642017600";"12.01.2022 22:00";"191,5";"191,5";"20,14";"191,5"
"1642021200";"12.01.2022 23:00";"129,93";"129,93";"18,12";"129,93"
"1642024800";"13.01.2022 00:00";"87,07";"87,07";"13,62";"87,07"
"1642028400";"13.01.2022 01:00";"119,13";"119,13";"13,09";"117,96"
"1642032000";"13.01.2022 02:00";"101,04";"101,04";"11,4";"101,04"
"1642035600";"13.01.2022 03:00";"94,3";"94,3";"10,57";"94,3"
"1642039200";"13.01.2022 04:00";"93,64";"93,64";"10,47";"93,64"
"1642042800";"13.01.2022 05:00";"92,58";"92,58";"10,86";"92,58"
"1642046400";"13.01.2022 06:00";"101,05";"101,05";"13,23";"101,05"
"1642050000";"13.01.2022 07:00";"192,03";"192,03";"20,62";"192,03"
"1642053600";"13.01.2022 08:00";"215,24";"215,24";"21,01";"215,24"
"1642057200";"13.01.2022 09:00";"196,88";"196,88";"25,63";"196,88"
"1642060800";"13.01.2022 10:00";"196,88";"196,88";"25,62";"196,88"
"1642064400";"13.01.2022 11:00";"180,08";"180,08";"25,61";"180,08"
"1642068000";"13.01.2022 12:00";"170,16";"170,16";"24,22";"170,16"
"1642071600";"13.01.2022 13:00";"152,53";"152,53";"21,41";"152,53"
"1642075200";"13.01.2022 14:00";"134,13";"134,13";"18,22";"134,13"
"1642078800";"13.01.2022 15:00";"171,01";"171,01";"17,68";"171,01"
"1642082400";"13.01.2022 16:00";"196,82";"196,82";"18,82";"196,82"
"1642086000";"13.01.2022 17:00";"196,85";"196,85";"19,66";"196,85"
"1642089600";"13.01.2022 18:00";"175,09";"175,09";"36,3";"175,09"
"1642093200";"13.01.2022 19:00";"196,82";"196,82";"23,66";"196,82"
"1642096800";"13.01.2022 20:00";"196,84";"196,84";"19,82";"196,84"
"1642100400";"13.01.2022 21:00";"175,01";"175,01";"18,06";"175,01"
"1642104000";"13.01.2022 22:00";"132,16";"132,16";"17,94";"132,16"
"1642107600";"13.01.2022 23:00";"110,4";"110,4";"14,92";"110,4"
"1642111200";"14.01.2022 00:00";"97,08";"97,08";"11,49";"97,08"
"1642114800";"14.01.2022 01:00";"89,6";"89,6";"14,93";"89,6"
"1642118400";"14.01.2022 02:00";"12,56";"12,56";"12,56";"12,56"
"1642122000";"14.01.2022 03:00";"30,26";"30,26";"11,4";"30,26"
"1642125600";"14.01.2022 04:00";"11,42";"11,42";"11,42";"11,42"
"1642129200";"14.01.2022 05:00";"13,18";"13,18";"13,18";"13,18"
"1642132800";"14.01.2022 06:00";"88,22";"88,22";"49,9";"88,22"
"1642136400";"14.01.2022 07:00";"88,43";"88,43";"66,87";"88,43"
"1642140000";"14.01.2022 08:00";"106,89";"106,89";"90,22";"106,89"
"1642143600";"14.01.2022 09:00";"155,01";"155,01";"71,64";"155,01"
"1642147200";"14.01.2022 10:00";"189,31";"189,31";"68,73";"189,31"
"1642150800";"14.01.2022 11:00";"162,92";"162,92";"75,21";"162,92"
"1642154400";"14.01.2022 12:00";"112,12";"112,12";"76,85";"112,12"
"1642158000";"14.01.2022 13:00";"114,34";"114,34";"68,38";"114,34"
"1642161600";"14.01.2022 14:00";"89,66";"89,66";"52,07";"89,66"
"1642165200";"14.01.2022 15:00";"106,9";"106,9";"52,09";"106,9"
"1642168800";"14.01.2022 16:00";"179,66";"179,66";"70";"179,66"
"1642172400";"14.01.2022 17:00";"133,69";"133,69";"133,69";"133,69"
"1642176000";"14.01.2022 18:00";"141,68";"141,68";"141,68";"141,68"
"1642179600";"14.01.2022 19:00";"140,8";"140,8";"140,8";"140,8"
"1642183200";"14.01.2022 20:00";"121,58";"121,58";"70,02";"121,58"
"1642186800";"14.01.2022 21:00";"121,57";"121,57";"45,45";"121,57"
"1642190400";"14.01.2022 22:00";"44,21";"44,21";"44,21";"44,21"
"1642194000";"14.01.2022 23:00";"60,08";"60,08";"49,94";"60,08"
"1642197600";"15.01.2022 00:00";"80";"80";"20,47";"80"
"1642201200";"15.01.2022 01:00";"17,27";"17,27";"17,27";"17,27"
"1642204800";"15.01.2022 02:00";"93";"93";"16,79";"93"
"1642208400";"15.01.2022 03:00";"93,99";"93,99";"16,74";"93,99"
"1642212000";"15.01.2022 04:00";"92,98";"92,98";"17,35";"92,98"
"1642215600";"15.01.2022 05:00";"90,14";"90,14";"18,6";"90,14"
"1642219200";"15.01.2022 06:00";"50,07";"50,07";"24,33";"50,07"
"1642222800";"15.01.2022 07:00";"80,1";"80,1";"39,23";"80,1"
"1642226400";"15.01.2022 08:00";"134,02";"134,02";"54,88";"134,02"
"1642230000";"15.01.2022 09:00";"150,03";"150,03";"63,19";"150,03"
"1642233600";"15.01.2022 10:00";"200,07";"200,07";"69,31";"200,07"
"1642237200";"15.01.2022 11:00";"203,52";"203,52";"69,53";"203,52"
"1642240800";"15.01.2022 12:00";"202,3";"202,3";"74,34";"202,3"
"1642244400";"15.01.2022 13:00";"157,91";"157,91";"80,6";"157,91"
"1642248000";"15.01.2022 14:00";"153,04";"153,04";"95";"153,04"
"1642251600";"15.01.2022 15:00";"150,5";"150,5";"149,94";"150,5"
"1642255200";"15.01.2022 16:00";"179,91";"179,91";"179,91";"179,91"
"1642258800";"15.01.2022 17:00";"220,89";"220,89";"220,89";"220,89"
"1642262400";"15.01.2022 18:00";"253,76";"253,76";"253,76";"253,76"
"1642266000";"15.01.2022 19:00";"209,84";"209,84";"209,84";"209,84"
"1642269600";"15.01.2022 20:00";"153,67";"153,67";"153,67";"153,67"
